,Description,Date,Month,Year,Shooting,Local,Latitude,Longitude,zipcode
0,MVAcc,9/24/2012,9,2012,No,No,42.35248135,-71.06114957,02111
1,OTHER LARCENY,10/7/2012,10,2012,No,No,42.35887134,-71.05634456,02109
2,MVAcc,7/18/2012,7,2012,No,No,42.28956136,-71.08979956,02124
3,Arrest,7/15/2012,7,2012,No,No,42.26457637,-71.10170955,02136
4,InvPer,9/4/2012,9,2012,No,No,42.29754136,-71.05973457,02122
5,VAL,10/5/2012,10,2012,No,No,42.34143135,-71.14679954,02135
6,MVAcc,10/6/2012,10,2012,No,No,42.37595134,-71.05625957,02129
7,OTHER LARCENY,8/3/2012,8,2012,No,No,42.36479134,-71.05587456,02113
8,MVAcc,11/7/2012,11,2012,No,No,42.33372337,-71.09095643,02120
9,SIMPLE ASSAULT,12/23/2012,12,2012,No,No,42.31884635,-71.05673956,02125
10,VANDALISM,8/11/2012,8,2012,No,No,42.34998135,-71.15699953,02135
11,MVAcc,7/17/2012,7,2012,No,No,42.29943539,-71.08490864,02121
12,MedAssist,7/16/2012,7,2012,No,No,42.32276135,-71.10442455,02130
13,LARCENY FROM MOTOR VEHICLE,7/27/2012,7,2012,No,No,42.35738134,-71.07008456,02114
14,SIMPLE ASSAULT,11/1/2012,11,2012,No,No,42.36535688,-71.06151511,02114
15,Argue,7/20/2012,7,2012,No,No,42.31287527,-71.09567308,02119
16,VAL,12/14/2012,12,2012,No,No,42.27302758,-71.07375164,02126
17,InvPer,7/18/2012,7,2012,No,No,42.26498636,-71.09939455,02126
18,Arrest,7/22/2012,7,2012,No,No,42.29936636,-71.06978457,02124
19,Arrest,8/13/2012,8,2012,No,No,42.2836616,-71.06589348,02124
20,PropFound,9/8/2012,9,2012,No,No,42.34916135,-71.09283956,02215
21,MedAssist,11/8/2012,11,2012,No,No,42.37979872,-71.05707383,02129
22,FRAUD,10/22/2012,10,2012,No,No,42.28405295,-71.11241077,02131
23,OTHER LARCENY,10/26/2012,10,2012,No,No,42.35222134,-71.06635956,02116
24,InvPer,8/2/2012,8,2012,No,No,42.29008683,-71.12195463,02131
25,VAL,8/1/2012,8,2012,No,No,42.28405295,-71.11241077,02131
26,MVAcc,8/18/2012,8,2012,No,No,42.30864635,-71.08817456,02121
27,FRAUD,7/29/2012,7,2012,No,No,42.30860636,-71.10536956,02130
28,InvPer,8/27/2012,8,2012,No,No,42.23701137,-71.13032954,02136
29,FRAUD,7/22/2012,7,2012,No,No,42.35698134,-71.06022456,02228
