,routeid,created_utc,activitytype,latitude,longitude,distance_m,n_points,zipcode
0,449a745e86c38e9698989056657d56c9,01:31.1,Running,42.34645,-71.11662,8210.279058,65,2446
1,cfaecfc929176355f0f82fe3241e44f8,25:49.8,Running,42.3332,-71.11876,4919.185808,44,2445
2,62725abe1653104ff8403759713ebb4a,26:34.5,Running,42.3332,-71.11876,8126.535389,64,2445
3,9cf8dab40a4a5f1f48797d3dcc9fbc0f,50:24.5,Running,42.3332,-71.11876,3219.928603,34,2445
4,c3ee571a8b367a418afdb1ae520e10aa,09:24.7,Running,42.34512,-71.1186,10383.88258,127,2446
5,ee151209bfe4b9e8a9a9b45158c34705,53:45.1,Running,42.36165,-71.10355,4601.061246,64,2139
6,dc185e309115219fc732c13852dba904,21:31.9,Running,42.36229,-71.10759,7652.643296,49,2139
7,411afdc0e39698369055a46618705b9e,35:24.8,Running,42.36318,-71.05158,5271.013538,91,2110
8,b3b3935c6ad525cbdeb6a1a3e0c17475,44:25.2,Running,42.365572,-71.078132,4706.418197,54,2142
9,f6c6265d851df42fea88ec8fb5e898ee,56:26.5,Running,42.354764,-71.099916,4222.270995,114,2139
10,e9e9da5fff46775ce4f3c6f7a0593cf7,16:50.3,Running,42.354689,-71.100388,5501.806768,205,2139
11,660a7bac8415b8663dd8142b28a45554,28:34.0,Running,42.35727,-71.09263,4756.990063,175,2139
12,50d0a4c474304e87f93dc571ebc7f1c5,56:58.9,Running,42.39455,-71.12134,4954.43213,22,2144
13,bebb657b8029c9816abac4542c50155d,02:01.1,Running,42.34455,-71.03961,7558.95817,97,2210
14,987d64b5a2c948a8a1c125d500bf188d,02:52.6,Running,42.34414,-71.11438,3511.843318,44,2446
15,9db015cba6ee7a45e15a4b87163bc111,37:26.6,Running,42.342964,-71.094531,2655.32213,66,2115
16,9e0b32bba0b1976112890de1e9664f19,35:53.6,Walking,42.35702,-71.05255,2592.513327,59,2110
17,ae6a77d8785de59c20ab0ff7f49437df,37:53.1,Running,42.37557,-71.05924,1972.497005,39,2129
18,1776b634a2a28471db9a94ce84363598,40:53.1,Running,42.37425,-71.05893,3494.378108,43,2129
19,1c8f0632acb09730c05269d1dab25583,46:24.9,Running,42.37264,-71.0599,5042.996865,50,2129
20,ccb56a5c26cec8a7d583377da0384ccb,42:57.8,Running,42.3306,-71.10851,1654.218988,25,2120
21,1f430d82e7713662ffdc2f0f776a1eec,35:17.8,Running,42.34286,-71.09702,3230.582662,58,2215
22,f54b781e6b80e95362fca723e8187ecb,03:37.7,Running,42.362303,-71.107678,10608.64448,59,2139
23,059a2fc45bf40852f404e763bda7655a,37:08.5,Running,42.356964,-71.09267,6437.289809,172,2139
24,61019c2444f00da2085dd40d84032768,57:49.7,Running,42.359576,-71.070101,2393.10147,26,2114
