,routeid,created_utc,activitytype,latitude,longitude,distance_m,n_points,zipcode
0,449a745e86c38e9698989056657d56c9,2010-04-05 20:01:31.084000,Running,42.34645,-71.11662,8210.27905763,65,02446
1,cfaecfc929176355f0f82fe3241e44f8,2010-04-05 21:25:49.765000,Running,42.3332,-71.11876,4919.18580776,44,02445
2,62725abe1653104ff8403759713ebb4a,2010-04-05 21:26:34.490000,Running,42.3332,-71.11876,8126.53538876,64,02445
3,9cf8dab40a4a5f1f48797d3dcc9fbc0f,2010-04-05 21:50:24.454000,Running,42.3332,-71.11876,3219.92860339,34,02445
4,c3ee571a8b367a418afdb1ae520e10aa,2010-04-06 19:09:24.686000,Running,42.34512,-71.1186,10383.8825773,127,02446
5,ee151209bfe4b9e8a9a9b45158c34705,2010-04-07 19:53:45.087000,Running,42.36165,-71.10355,4601.0612459,64,02139
6,dc185e309115219fc732c13852dba904,2010-04-08 13:21:31.894000,Running,42.36229,-71.10759,7652.64329628,49,02139
7,411afdc0e39698369055a46618705b9e,2010-04-08 18:35:24.807000,Running,42.36318,-71.05158,5271.0135375,91,02109
8,b3b3935c6ad525cbdeb6a1a3e0c17475,2010-04-09 01:44:25.172000,Running,42.365572,-71.078132,4706.41819683,54,1211
9,f6c6265d851df42fea88ec8fb5e898ee,2010-04-09 04:56:26.484000,Running,42.354764,-71.099916,4222.27099471,114,02139
10,e9e9da5fff46775ce4f3c6f7a0593cf7,2010-04-09 05:16:50.329000,Running,42.354689,-71.100388,5501.80676823,205,02139
11,660a7bac8415b8663dd8142b28a45554,2010-04-09 05:28:34.045000,Running,42.35727,-71.09263,4756.99006304,175,4312
12,50d0a4c474304e87f93dc571ebc7f1c5,2010-04-09 15:56:58.856000,Running,42.39455,-71.12134,4954.4321297,22,02144
13,bebb657b8029c9816abac4542c50155d,2010-04-11 20:02:01.139000,Running,42.34455,-71.03961,7558.95816983,97,02210
14,987d64b5a2c948a8a1c125d500bf188d,2010-04-11 20:02:52.563000,Running,42.34414,-71.11438,3511.84331836,44,3910
15,9db015cba6ee7a45e15a4b87163bc111,2010-04-11 22:37:26.627000,Running,42.342964,-71.094531,2655.32213031,66,02215
16,9e0b32bba0b1976112890de1e9664f19,2010-04-13 16:35:53.595000,Walking,42.35702,-71.05255,2592.51332693,59,02110
17,ae6a77d8785de59c20ab0ff7f49437df,2010-04-13 16:37:53.102000,Running,42.37557,-71.05924,1972.49700466,39,3420
18,1776b634a2a28471db9a94ce84363598,2010-04-13 16:40:53.121000,Running,42.37425,-71.05893,3494.37810834,43,02129
19,1c8f0632acb09730c05269d1dab25583,2010-04-13 16:46:24.881000,Running,42.37264,-71.0599,5042.99686527,50,02129
20,ccb56a5c26cec8a7d583377da0384ccb,2010-04-14 14:42:57.789000,Running,42.3306,-71.10851,1654.21898754,25,2847
21,1f430d82e7713662ffdc2f0f776a1eec,2010-04-14 22:35:17.766000,Running,42.34286,-71.09702,3230.58266163,58,02215
22,f54b781e6b80e95362fca723e8187ecb,2010-04-16 03:03:37.690000,Running,42.362303,-71.107678,10608.6444761,59,3809
23,059a2fc45bf40852f404e763bda7655a,2010-04-16 15:37:08.451000,Running,42.356964,-71.09267,6437.28980858,172,02139
24,61019c2444f00da2085dd40d84032768,2010-04-16 19:57:49.699000,Running,42.359576,-71.070101,2393.10146969,26,02114
25,178f647e3784bf7663f0b9c9504c708e,2010-04-16 20:02:17.689000,Running,42.360151,-71.053374,1526.76676222,19,02109
26,c44d0b6e0c2632fc969ed0ce4964f8a4,2010-04-16 20:05:20.509000,Running,42.360258,-71.06995,2013.31073615,21,3416
27,f92d2099c2d6245fc4ea8bf781f7a0a4,2010-04-16 20:08:35.322000,Running,42.36159,-71.078705,4893.40386525,11,02142
28,29b0b9e49cb144cccb108f8070317658,2010-04-16 22:25:26.622000,Running,42.362757,-71.089938,4330.90669563,14,02142
29,007cfd3b07c01f6183e42337236ab92d,2010-04-16 22:26:22.784000,Running,42.365896,-71.089144,2697.37178079,10,02142
30,5659604bceea7a08d655939426e27be4,2010-04-17 15:33:00.781000,Running,42.345154,-71.116842,12785.5905409,56,02446
31,4c079402afd683ce916adaa9e8c250dd,2010-04-18 15:41:36.042000,Running,42.362772,-71.060887,8688.87814775,182,02114
32,539b40d2cd9511fdff012f3e1872547b,2010-04-19 19:37:57.546000,Running,42.294862,-71.159566,8121.78604782,42,02467
33,93dfd391c60c61dd0bc691eb21564719,2010-04-19 19:56:26.438000,Running,42.343688,-71.142567,7558.40360336,37,02135
34,b51ac67a93812746176ced7a9cfa2a9d,2010-04-19 19:59:32.529000,Running,42.34847,-71.140021,4048.50828609,36,4307
35,9a64322213e094ffcd534c6289bd4715,2010-04-20 14:19:04.430000,Running,42.363609,-71.051083,3308.32203587,26,02110
36,5b5cb9f6480575faefc8e5e7dfed7369,2010-04-20 23:55:09.583000,Running,42.354791,-71.100084,7411.47814878,148,02139
37,8177df4485c95074666e9d5091a303a8,2010-04-21 18:05:57.936000,Running,42.336776,-71.154641,2417.50931351,21,02135
38,0f72ea5e150e8388b4e88a2e120f958f,2010-04-23 13:37:25.557000,Running,42.33814,-71.13968,6443.63897065,24,02445
39,ea40fc6cc796f837b69e90ba9a65596d,2010-04-23 13:39:44.732000,Running,42.33814,-71.13968,6654.19133765,30,02445
40,ab8fe282eba02843df14c6d456fe4910,2010-04-23 13:42:08.206000,Running,42.33814,-71.13968,5265.84451734,43,02445
41,4247779c72f79913ac0155632e40a2be,2010-04-23 17:07:22.035000,Running,42.34414,-71.11438,4935.52665094,59,3910
42,ac6022fb608e18635f2f526bdc30e6b3,2010-04-25 13:13:20.760000,Running,42.367146,-71.124708,8804.75099807,31,02134
43,65afad9fde73730d9cb665d65eb684b4,2010-04-25 14:36:10.725000,Walking,42.349382,-71.088802,16172.7789461,35,1901
44,8eb3087d0c90070997ed188eb4b3aac1,2010-04-25 15:51:03.039000,Running,42.341133,-71.126061,9683.90039401,60,2003
45,048110a3a1c75d80ff9389607be26d67,2010-04-25 16:23:12.083000,Running,42.365396,-71.090873,17073.0253467,67,02139
46,885beac11e3684d10d59c11f99f1bf12,2010-04-25 21:59:15.578000,Running,42.369107,-71.073138,6286.84865117,64,02141
47,229434e742d5755371dbb4bcf4a1ed2a,2010-04-25 22:09:06.610000,Running,42.368905,-71.072856,11284.085156,111,02141
48,83e0ed8aba71b402797f00089a56a22b,2010-04-27 17:50:25.381000,Running,42.362503,-71.060586,6405.77493635,152,02114
49,54df3ab8be8c69f18fa0130972211cd9,2010-04-27 19:59:47.988000,Running,42.34104,-71.11752,6052.74471775,49,5247
50,8deffa9a448e837dd0e60a48e125f6ab,2010-04-28 02:50:39.029000,Running,42.344699,-71.118823,12258.1685697,103,02446
51,6490ab316f3f6570369ace0217835919,2010-04-28 02:54:04.739000,Running,42.341455,-71.124542,6838.3581819,33,02446
52,1ad375987747b080ef7f8b665e00992f,2010-04-28 02:55:39.073000,Running,42.344025,-71.114757,6852.55766096,21,02446
53,f4db2196beb0a6512dd74c6b747156f1,2010-04-28 15:17:41.648000,Running,42.35341,-71.05758,4060.16862123,54,02110
