,OBJECTID,Lat,Long,zipcode
0,23195,42.37100078,-71.03104015,2128
1,23196,42.37121598,-71.03142523,2128
2,23197,42.37167378,-71.03189356,2128
3,23198,42.37149851,-71.03174692,2128
4,23199,42.37135764,-71.03158584,2128
5,23200,42.37181066,-71.03213077,2128
6,23201,42.37187259,-71.03239759,2128
7,23202,42.37212896,-71.03244974,2128
8,23203,42.37218598,-71.03267488,2128
9,23204,42.37229244,-71.03279917,2128
10,23205,42.37234223,-71.03280937,2128
11,23206,42.3723133,-71.03302055,2128
12,23207,42.37223474,-71.03313923,2128
13,23208,42.37221573,-71.03292003,2128
14,23209,42.37207587,-71.03286071,2128
15,23210,42.37197185,-71.03266719,2128
16,23211,42.3718843,-71.03254574,2128
17,23212,42.3717861,-71.03228577,2128
18,23213,42.37161777,-71.03211207,2128
19,23214,42.37140103,-71.03199218,2128
20,23215,42.37089708,-71.03121054,2128
21,23216,42.37079613,-71.03099778,2128
22,23217,42.37066014,-71.03078184,2128
23,23218,42.37057528,-71.03066054,2128
24,23219,42.37052269,-71.03055728,2128
25,23220,42.37043173,-71.03040874,2128
26,23221,42.37024571,-71.03022969,2128
27,23222,42.37006481,-71.02994974,2128
28,23223,42.36990674,-71.02968266,2128
29,23224,42.36967857,-71.02955958,2128
30,23225,42.3690673,-71.02844274,2128
31,23226,42.36899496,-71.02839743,2128
32,23227,42.36836875,-71.02753161,2128
33,23228,42.36812001,-71.02748092,2128
34,23229,42.36837653,-71.02774786,2128
35,23230,42.36836189,-71.02788553,2128
36,23231,42.36837242,-71.02800281,2128
37,23232,42.36854798,-71.02823666,2128
38,23233,42.36933838,-71.02920865,2128
39,23234,42.36943644,-71.02945437,2128
40,23235,42.36954806,-71.02939207,2128
41,23236,42.36982197,-71.02984889,2128
42,23237,42.37001918,-71.03014836,2128
43,23238,42.37021701,-71.03059538,2128
44,23239,42.37081259,-71.03132217,2128
45,23240,42.3709384,-71.03140894,2128
46,23241,42.37114844,-71.03172878,2128
47,23242,42.37212955,-71.0331338,2128
48,23243,42.3719931,-71.03287564,2128
49,23244,42.37208443,-71.03320539,2128
50,23245,42.37069604,-71.03152447,2128
51,23246,42.37064526,-71.03151552,2128
52,23247,42.37072955,-71.03141707,2128
53,23248,42.36992785,-71.03053427,2128
54,23249,42.3692558,-71.02967474,2128
55,23250,42.36912022,-71.02934185,2128
56,23251,42.36909817,-71.02940562,2128
57,23252,42.36892372,-71.02895987,2128
58,23253,42.36802709,-71.02778718,2128
59,23254,42.36799998,-71.02793142,2128
60,23255,42.36800612,-71.02790535,2128
61,23256,42.36823582,-71.02850081,2128
62,23257,42.36999855,-71.03091557,2128
63,23258,42.37008707,-71.03084271,2128
64,23259,42.37039275,-71.03134111,2128
65,23260,42.37050305,-71.03157507,2128
66,23261,42.37054649,-71.03164393,2128
67,23262,42.37061103,-71.03212646,2128
68,23263,42.37057577,-71.03189862,2128
69,23264,42.3701518,-71.03128668,2128
70,23265,42.3700793,-71.03118183,2128
71,23266,42.36985394,-71.03109357,2128
72,23267,42.36976552,-71.03119516,2128
73,23268,42.36889719,-71.02957168,2128
74,23269,42.36877538,-71.02962825,2128
75,23270,42.3679093,-71.02869125,2128
76,23271,42.3690153,-71.02996315,2128
